sentence	label
O reino de Manuel I foi fundamental em influenciar a arquitetura religiosa da região ela está presente em muitas das igrejas como a de Nossa Senhora da Oliveira em Sobral da Abelheira Nossa Senhora do Reclamador em Cheleiros Nossa Senhora da Conceição em Igreja Nova São Miguel em Milharado Santa Eulália em Santo Estevão das Galés e São Silvestre in Gradil	0
Consequentemente é comum este tipo de frigoríficos comerciais ter um consumo de energia kWhdia	1
Entre a maioria dos falantes de latim vivia uma grande minoria de comerciantes e escravos gregos	1
Após a vitória dos liberais e da abolição das ordens religiosas o nome da instituição foi mudado para Biblioteca Nacional de Lisboa e foramlhes oficialmente confiadas todas ou parte das bibliotecas de vários mosteiros e conventos	1
Depois de concluir o ensino secundário mudouse para Lisboa onde concluiu a licenciatura em Filologia Românica na Universidade de Lisboa	1
A Vida na Sarjeta recebeu críticas em sua maioria positivas	0
A indicação do exjogador do clube e auxiliar técnico Octávio Machado para conduzir o Porto de volta ao título da liga pareceu compensar pois a equipe começou a temporada com uma vitória na Supertaça contra os vencedores da Primeira Liga de Boavista	0
Por sua vez o ritornelo leva a uma suspensão que introduz a cadência do solista	1
A cidade tem cinco estádios mais pequenos que costumam receber ocasionalmente os jogos de competição	1
Simultaneamente ela aproveitou a oportunidade para aprofundar o próprio conhecimento sobre a cultura inglesa e o idioma	0
Para a exploração da radiotelegrafia e do telefone sem fio foi confirmado um contrato com a concessão Marconi s Wireless Telegraphy Company em	0
Os voos são essencialmente domésticos mas há também alguns para a Bolívia e o Paraguai	1
A proclamação da República foi seguida da integração de uma nova vaga de bibliotecas de outra ronda de abolições de instituições religiosas	1
Padronagens diferentes como losangos hoje em dia são raras por toda parte	0
Sobreviveu ao saltar de uma janela quando este se aproximava do solo	1
em o modelo T da Ford custava cerca de dólares Em a Kelvinator detinha por cento do mercado de frigoríficos elétricos	1
O outro motivo é que era considerado ruim para um homem se misturar com uma prostituta por isso que em muitos casos não havia processos a vítima ficava muito envergonhada em admitir que tinha estado com uma prostituta	0
Nas comunidades Católicas Romanas as cerimônias de Confirmação são consideradas um dos sete sacramentos que um católico pode receber durante sua vida	0
Kurt Chris Colfer faz uma transformação no visual de Rachel ostensivamente para ajudáa a atrair Finn mas na realidade tenta sabotar suas chances com ele	0
Os homens que eram acusados de roubar carteiras e que tinham menos de anos eram frequentemente crianças que atuavam em bandos sob a autoridade de um adulto que as treinava a roubar	1
Em ele tornouse treinador da equipe feminina brasileira	0
Tipicamente um bloco de baunilha ou uma camada de gelado soft colocado entre uma bolacha de baunilha simples e um nogado coberto de chocolate	1
Devido à sua importância para a área local foi listada no Registro do Patrimônio Estadual de NSW	0
Sal e fosfatos agem como inibidores potentes da atividade proteolítica	0
Os fatos são feitos de vários tecidos mas a lã é o mais frequentemente utilizado	1
Um estudo de identificou incidências mais altas de câncer de mama melanoma cânceres uterinos gastrointestinais cervicais e de tireoide relatados em comissárias de bordo em comparação com a população em geral	0
Peixe grelhado e chá verde japonês também são comuns	0
O género do videojogo é definido pelo conjunto de desafios e é classificado independentemente do cenário ou conteúdo ao contrário de outras obras de ficção como o cinema ou a literatura	1
Bancos e autoridades públicas usam o mesmo número para bancos de dados de clientes tornando a permissão totalmente útil para fins de identificação	0
Além disso a arte dele pode ser encontrada por toda a cidade do Rio de Janeiro é um museu a céu aberto de obras que exibem o estilo inconfundível dele algo exclusivo Montero p	0
O primeiro modelo de ônibus produzido em massa foi o ônibus de dois andares do tipo B projetado por Frank Searle e operado pela London General Omnibus Company ele entrou em serviço em e quase haviam sido construídos ao final da década	0
Em Lídia Jorge foi nomeada Comendadora da Ordem das Artes e Letras de França	1
Os descentes são donos do negócio até hoje	0
Académicas feministas canadianas tais como Mary Louise Adams Mona Gleason e Janice Dickin McGinnis têm investigado as campanhas de bandas desenhadas anticrime do final dos anos e dos anos a partir do ponto de vista do pânico moral e da história social e jurídica da época bem como da sociologia da sexualidade	1
Quando em o Rei João V começou a construção do Palácio de Mafra projetado pelo arquitetochefe do reino João Frederico Ludovice Mafra tinha apenas algumas aldeias em torno do monumento	0
Na região torácica e abdominal os aglomerados eram pequenos ovais e dispostos em linhas longitudinais irregulares	0
Pelo menos seis pessoas morreram por electrocução após os fios de alta tensão caídos tocarem na água das cheias	1
Kevin Ritchie de NOW Magazine nomeoua a melhor faixa do álbum	1
Grelo é uma pequena fita de lã com as cores da faculdade do estudante e que fica preso à pasta do estudante	0
Dohin in the Wind for escrito por Donick Cary e realizado por Mark Kirkland e Matthew Nastuk	1
O cartão SIM tem o tamanho aproximado de um pequeno selo postal e geralmente é colocado sob a bateria na parte traseira da unidade	0
Os franceses fecharam o cerco à cidade em julho de sob Louis de Crevant Duque de Humières e fortaleceram o castelo	0
Além dos títulos estaduais o Santos venceu o RioSão Paulo em batendo o Vasco na final por com dois golos de Coutinho que tinha apenas anos	1
De Ravin era fã da série antes de ser convidada e ficou feliz por poder ver o figurino de perto descrevendo o vestido dourado de sua personagem como absolutamente estonteante A escolha do antigo pretendente dela Gaston foi anunciada em dezembro de com o ator de Psych Sage Brocklebank	0
Nesse ano decidiuse que uma ponte seria construída devido ao aumento do volume de tráfego e licitações foram realizadas para a fabricação dos vãos da ponte a construção de pilares e estacas e o transporte de materiais para o futuro canteiro de obras	0
Os tons de pele e a cor do cabelo são realçados com com um toque de luz amarela	0
De acordo com o mesmo Liepert recusava caracterizar os problemas do sistema de saúde como resultado da escassez de médicos Em alternativa prometeu introduzir reformas estruturais	1
Finn não está impressionado com a nova aparência de Rachel antes de dizer a ela que se lembrou de ter conversado com Kurt sobre o que ele admirava nas meninas	0
David Beckham anunciou que pretendia criar uma academia de futebol em Natal chamada Beckham World of Sport para coincidir com o Campeonato do Mundo da FIFA de	1
Com o afluxo de rendimentos os membros da alta sociedade da cidade começaram a interessarse cada vez mais pela representação da cidade em atividades desportivas	1
Os congeladores de utilização doméstica com compartimentos separados maiores do que o necessário apenas para cubos de gelo ou com unidades separadas foram lançados nos Estados Unidos em	1
A presença humana no sul de Portugal remonta aos períodos do Paleolítico e do Neolítico	1
Geralmente sem fio frequentemente eles têm uma chave para desativar os circuitos de movimento entre usos permitindo ao usuário liberdade de movimentos sem que isso afete a posição do cursor	0
Embora seja verdade que o príncipe Frederico duque de York e Albany tenha comandado um exército na Campanha de Flanders de e provavelmente esteve nas proximidades a ligação com Cassel é considerada duvidosa pois a canção de ninar com o mesmo nome parece ter se originado bem antes das Guerras Revolucionárias	0
Estiveram na mesma prisão durante alguns meses em São Paulo Durante as visitas conjugais eles reconciliaramse tendo planeado retomar a vida em conjunto depois de serem libertados da prisão	1
A canoa era feita com um grande tronco de árvore e movida por vinte e cinco remadores nus	0
Os veículos costumam apresentar também publicidade em parte ou na totalidade das superfícies visíveis funciona como painel publicitário móvel	1
Uma notória exceção à negligência geral da literacia das raparigas é a Rainha Elizabete I	1
No dia da morte de Wright Elton John que fazia um show em Saskatoon Saskatchewan Canadá dedicou a música Believe a ele	0
Guerrero foi totalmente convertido à cultura maia e serviu o seu novo chefe com tal lealdade que acabou por casar com Zazil Ha uma das filhas de Nachan Chan com quem teve três filhos	1
Referiu ter de adotar o pensamento de uma criança e parecer impressionado por experiências comuns tais como sentir a chuva ou a luz do sol	1
Várias tecnologias foram usadas para monitores de computador	0
O césio é um elemento relativamente raro com uma média estimada de três partes por milhão na crosta terrestre	1
O ciclo da borracha possibilitou a eletrificação da cidade antes da instalação em muitas cidades da Europa mas o fim do ciclo tornou a operação dos geradores muito cara	0
A Síria é o maior importador da ervamate do mundo importando toneladas por ano	0
Depois do processo anterior a erva pode ser preparada	0
Gwen Orel do The Wall Street Journal descreveu adicionalmente a sua performance numa análise a esse episódio do programa Ele tem um chapéu de veludo e ela tem uma saia de roda curta fofa e transparente com meias e um cinto de liga e uma blusa roxa transparente	1
Encontrase dentro de uma calha acentuada mas a massa de ar atrás do limite pode ser quente ou fria	0
Aeroportos museus campus hospitais e shopping centers podem ter ferramentas que permitem o cálculo dos trajetos mais rápidos entre dois destinos	0
Toda a ponte foi marcada com uma única faixa e ela possui semáforos nas duas pontas para controlar o fluxo de veículos	0
Originalmente ligados a um computador muitos ratos modernos não têm fios a comunicação com o sistema ligado é efetuada via rádio de curto alcance	1
O ògì é acompanhado com acarajé akara ou moi moi	1
Durante mais de quatro séculos de história a cachaça tem acumulado sinónimos e alcunhas criativas inventadas pelos brasileiros	1
O editor Robert Kimbrough disse que o artigo era um dos três eventos mais importantes na crítica do Coração das Trevas desde a segunda edição de seu livro O crítico Nicolas Tredell divide a crítica de Conrad em duas fases históricas antes e depois de Achebe Questionado com frequência sobre seu ensaio Achebe certa vez explicou que nunca pretendeu que a obra fosse abandonada não é da minha natureza falar sobre proibir livros	0
Em de dezembro de Porto jogou sua primeira partida contra uma equipe estrangeira recebendo o Real Fortuna da Espanha	0
A população além dessa zona tendo vivido com as legiões romanas antes de sua retirada foi substancialmente romanizada	0
Após o triunfo no Paulistão de muitos jogadores importantes da equipe vitoriosa deixaram o clube ou se aposentaram deixando o clube sem veteranos	0
O principal fabricante em Glasgow era a Verbest Cream Wafer Company que cessou a atividade após a morte do fabricante em	1
Eles se casaram em em uma cerimônia civil depois de namorarem por um ano	0
Decidiuse instalar um barco de fundo chato nesta localização conhecido na altura como Abbot s Ford	1
Assim a SH foi truncada na interseção com a SH o atual extremo oeste de sua paralela	0
A maior parte dos atropelamentos ocorre à noite	1
A população de Cassel cresceu para cerca de pessoas em meados do séculos XIX	0
Revestimentos antirreflexo às vezes são aplicados para ajudar a reduzir reflexos embora isso apenas atenue o efeito	0
Natal está ligada aos municípios do Rio Grande do Norte e a dezenas de localidades e distritos de Potiguar através do Terminal Rodoviário de Passageiros de Natal situado na zona leste da cidade	1
No momento do desastre a TVA estava usando armazenamento molhado em seis de suas usinas termelétricas a carvão	0
Na Inglaterra foram descobertos copos que datam de város milhares de anos inclusive o Rillaton Gold Cup com cerca de anos de idade	0
Para tempo quente é também utilizado o linho e nos Estados do sul dos EUA é usado anarruga	1
Por exemplo um jovem Lou Gehrig frequentaria a academia Turner na cidade de Nova York com seu pai	0
